Area,ISO 3 code,Year,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
Algeria,DZA,2023,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,94.02,5.12,5.76
American Samoa,ASM,2000,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.17,,
American Samoa,ASM,2001,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.17,0,0
American Samoa,ASM,2002,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.18,0.01,5.88
American Samoa,ASM,2003,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.19,0.01,5.56
American Samoa,ASM,2004,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.19,0,0
American Samoa,ASM,2005,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.19,0,0
American Samoa,ASM,2006,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.19,0,0
American Samoa,ASM,2007,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.19,0,0
American Samoa,ASM,2008,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.19,0,0
American Samoa,ASM,2009,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.18,-0.01,-5.26
American Samoa,ASM,2010,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.16,-0.02,-11.11
American Samoa,ASM,2011,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.16,0,0
American Samoa,ASM,2012,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.16,0,0
American Samoa,ASM,2013,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.15,-0.01,-6.25
American Samoa,ASM,2014,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.15,0,0
American Samoa,ASM,2015,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.16,0.01,6.67
American Samoa,ASM,2016,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.17,0.01,6.25
American Samoa,ASM,2017,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.16,-0.01,-5.88
American Samoa,ASM,2018,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.16,0,0
American Samoa,ASM,2019,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.16,0,0
American Samoa,ASM,2020,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.17,0.01,6.25
American Samoa,ASM,2021,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.17,0,0
American Samoa,ASM,2022,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.18,0.01,5.88
American Samoa,ASM,2023,Country or economy,Oceania,Oceania,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.17,-0.01,-5.56
Angola,AGO,2000,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,1.44,,
Angola,AGO,2001,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,1.64,0.2,13.89
Angola,AGO,2002,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,1.76,0.12,7.32
Angola,AGO,2003,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,1.99,0.23,13.07
Angola,AGO,2004,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,2.24,0.25,12.56
Angola,AGO,2005,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,2.63,0.39,17.41
Angola,AGO,2006,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,2.98,0.35,13.31
Angola,AGO,2007,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,3.24,0.26,8.72
Angola,AGO,2008,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,4.05,0.81,25
Angola,AGO,2009,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,4.91,0.86,21.23
Angola,AGO,2010,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.46,0.55,11.2
Angola,AGO,2011,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.66,0.2,3.66
Angola,AGO,2012,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,7.72,2.06,36.4
Angola,AGO,2013,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,8.15,0.43,5.57
Angola,AGO,2014,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,9.56,1.41,17.3
Angola,AGO,2015,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,9.78,0.22,2.3
Angola,AGO,2016,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,10.98,1.2,12.27
Angola,AGO,2017,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,10.81,-0.17,-1.55
Angola,AGO,2018,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,13.14,2.33,21.55
Angola,AGO,2019,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,15.82,2.68,20.4
Angola,AGO,2020,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,16.81,0.99,6.26
Angola,AGO,2021,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,16.85,0.04,0.24
Angola,AGO,2022,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,17.31,0.46,2.73
Angola,AGO,2023,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,17.94,0.63,3.64
Antigua and Barbuda,ATG,2000,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.15,,
Antigua and Barbuda,ATG,2001,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.17,0.02,13.33
Antigua and Barbuda,ATG,2002,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.19,0.02,11.76
Antigua and Barbuda,ATG,2003,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.21,0.02,10.53
Antigua and Barbuda,ATG,2004,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.22,0.01,4.76
Antigua and Barbuda,ATG,2005,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.24,0.02,9.09
Antigua and Barbuda,ATG,2006,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.26,0.02,8.33
Antigua and Barbuda,ATG,2007,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.29,0.03,11.54
Antigua and Barbuda,ATG,2008,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.3,0.01,3.45
Antigua and Barbuda,ATG,2009,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.33,0.03,10
Antigua and Barbuda,ATG,2010,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.33,0,0
Antigua and Barbuda,ATG,2011,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.33,0,0
Antigua and Barbuda,ATG,2012,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.33,0,0
Antigua and Barbuda,ATG,2013,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.33,0,0
Antigua and Barbuda,ATG,2014,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.34,0.01,3.03
Antigua and Barbuda,ATG,2015,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.35,0.01,2.94
Antigua and Barbuda,ATG,2016,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.34,-0.01,-2.86
Antigua and Barbuda,ATG,2017,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.35,0.01,2.94
Antigua and Barbuda,ATG,2018,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.36,0.01,2.86
Antigua and Barbuda,ATG,2019,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.36,0,0
Antigua and Barbuda,ATG,2020,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.35,-0.01,-2.78
Antigua and Barbuda,ATG,2021,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.35,0,0
Antigua and Barbuda,ATG,2022,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.36,0.01,2.86
Antigua and Barbuda,ATG,2023,Country or economy,North America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.36,0,0
Argentina,ARG,2000,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,90.2,,
Argentina,ARG,2001,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,91.89,1.69,1.87
Argentina,ARG,2002,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,90.51,-1.38,-1.5
Argentina,ARG,2003,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,97.1,6.59,7.28
Argentina,ARG,2004,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,103.73,6.63,6.83
Argentina,ARG,2005,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,109.63,5.9,5.69
Argentina,ARG,2006,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,115.79,6.16,5.62
Argentina,ARG,2007,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,121.12,5.33,4.6
Argentina,ARG,2008,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,127.39,6.27,5.18
Argentina,ARG,2009,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,128.48,1.09,0.86
Argentina,ARG,2010,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,134.6,6.12,4.76
Argentina,ARG,2011,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,139.16,4.56,3.39
Argentina,ARG,2012,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,143.63,4.47,3.21
Argentina,ARG,2013,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,147.51,3.88,2.7
Argentina,ARG,2014,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,148.4,0.89,0.6
Argentina,ARG,2015,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,154.38,5.98,4.03
Argentina,ARG,2016,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,156.7,2.32,1.5
Argentina,ARG,2017,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,156.07,-0.63,-0.4
Argentina,ARG,2018,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,156.34,0.27,0.17
Argentina,ARG,2019,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,150.22,-6.12,-3.91
Argentina,ARG,2020,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,149.35,-0.87,-0.58
Argentina,ARG,2021,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,155.65,6.3,4.22
Argentina,ARG,2022,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,158.49,2.84,1.82
Argentina,ARG,2023,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,159.92,1.43,0.9
Argentina,ARG,2024,Country or economy,South America,Latin America and Caribbean,0,0,1,0,0,Electricity demand,Demand,Demand,TWh,161.3,1.38,0.86
Armenia,ARM,2000,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.32,,
Armenia,ARM,2001,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.37,0.05,0.94
Armenia,ARM,2002,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,4.96,-0.41,-7.64
Armenia,ARM,2003,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.02,0.06,1.21
Armenia,ARM,2004,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.04,0.02,0.4
Armenia,ARM,2005,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.3,0.26,5.16
Armenia,ARM,2006,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.4,0.1,1.89
Armenia,ARM,2007,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.77,0.37,6.85
Armenia,ARM,2008,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.88,0.11,1.91
Armenia,ARM,2009,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.4,-0.48,-8.16
Armenia,ARM,2010,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.49,0.09,1.67
Armenia,ARM,2011,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.88,0.39,7.1
Armenia,ARM,2012,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.22,0.34,5.78
Armenia,ARM,2013,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.33,0.11,1.77
Armenia,ARM,2014,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.42,0.09,1.42
Armenia,ARM,2015,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.3,-0.12,-1.87
Armenia,ARM,2016,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.15,-0.15,-2.38
Armenia,ARM,2017,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.41,0.26,4.23
Armenia,ARM,2018,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.17,-0.24,-3.74
Armenia,ARM,2019,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.53,0.36,5.83
Armenia,ARM,2020,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.63,0.1,1.53
Armenia,ARM,2021,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,7.09,0.46,6.94
Armenia,ARM,2022,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,8.43,1.34,18.9
Armenia,ARM,2023,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,7.54,-0.89,-10.56
Armenia,ARM,2024,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,7.9,0.36,4.77
Aruba,ABW,2000,Country or economy,South America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.78,,
Aruba,ABW,2001,Country or economy,South America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.81,0.03,3.85
Aruba,ABW,2002,Country or economy,South America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.82,0.01,1.23
Aruba,ABW,2003,Country or economy,South America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.84,0.02,2.44
Aruba,ABW,2004,Country or economy,South America,Latin America and Caribbean,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.87,0.03,3.57
